url,swat_number,date
https://www.wokewindows.org/swats/14-31DEC31,14-31DEC31,2014-12-31
https://www.wokewindows.org/swats/14-30DEC17,14-30DEC17,2014-12-17
https://www.wokewindows.org/swats/14-29NOV21,14-29NOV21,2014-11-21
https://www.wokewindows.org/swats/14-28NOV20,14-28NOV20,2014-11-20
https://www.wokewindows.org/swats/14-27NOV14,14-27NOV14,2014-11-14
https://www.wokewindows.org/swats/14-26NOV11,14-26NOV11,2014-11-11
https://www.wokewindows.org/swats/14-25OCT29,14-25OCT29,2014-10-29
https://www.wokewindows.org/swats/23-140309217,23-140309217,2014-10-10
https://www.wokewindows.org/swats/14-24OCT02,14-24OCT02,2014-10-02
https://www.wokewindows.org/swats/14-22AUG28,14-22AUG28,2014-08-28
https://www.wokewindows.org/swats/14-21JULY10,14-21JULY10,2014-07-10
https://www.wokewindows.org/swats/14-20JULY02,14-20JULY02,2014-07-02
https://www.wokewindows.org/swats/14-19JUNE13,14-19JUNE13,2014-06-13
https://www.wokewindows.org/swats/14-18JUN10,14-18JUN10,2014-06-10
https://www.wokewindows.org/swats/14-17JUN06,14-17JUN06,2014-06-06
https://www.wokewindows.org/swats/14-15MAY23,14-15MAY23,2014-05-23
https://www.wokewindows.org/swats/14-14MAY19,14-14MAY19,2014-05-19
https://www.wokewindows.org/swats/14-13MAY19,14-13MAY19,2014-05-19
https://www.wokewindows.org/swats/14-13MAY01,14-13MAY01,2014-05-01
https://www.wokewindows.org/swats/14-11APR22,14-11APR22,2014-04-22
https://www.wokewindows.org/swats/14-10MAR29,14-10MAR29,2014-03-29
https://www.wokewindows.org/swats/14-09MAR14,14-09MAR14,2014-03-14
https://www.wokewindows.org/swats/14-08MAR12,14-08MAR12,2014-03-12
https://www.wokewindows.org/swats/14-07MARCH07,14-07MARCH07,2014-03-07
https://www.wokewindows.org/swats/14-06MARCH05,14-06MARCH05,2014-03-05
https://www.wokewindows.org/swats/14-05FEB28,14-05FEB28,2014-02-28
https://www.wokewindows.org/swats/14-04JAN29,14-04JAN29,2014-01-29
https://www.wokewindows.org/swats/14-03JAN14,14-03JAN14,2014-01-14
https://www.wokewindows.org/swats/14-02JAN07,14-02JAN07,2014-01-07
https://www.wokewindows.org/swats/14-01JAN04,14-01JAN04,2014-01-04
https://www.wokewindows.org/swats/13-38DEC12,13-38DEC12,2013-12-12
https://www.wokewindows.org/swats/13-37DEC06,13-37DEC06,2013-12-06
https://www.wokewindows.org/swats/13-36NOV20,13-36NOV20,2013-11-20
https://www.wokewindows.org/swats/13-34NOV12,13-34NOV12,2013-11-12
https://www.wokewindows.org/swats/13-35NOV11,13-35NOV11,2013-11-11
https://www.wokewindows.org/swats/13-33NOV04,13-33NOV04,2013-11-04
https://www.wokewindows.org/swats/13-32OCT11,13-32OCT11,2013-10-11
https://www.wokewindows.org/swats/13-30SEP17,13-30SEP17,2013-09-17
https://www.wokewindows.org/swats/13-30SEP13,13-30SEP13,2013-09-13
https://www.wokewindows.org/swats/13-29SEP13,13-29SEP13,2013-09-13
https://www.wokewindows.org/swats/13-09062013,13-09062013,2013-09-06
https://www.wokewindows.org/swats/588206,588206,2013-09-06
https://www.wokewindows.org/swats/13-27AUG27,13-27AUG27,2013-08-27
https://www.wokewindows.org/swats/13-26AUG07,13-26AUG07,2013-08-07
https://www.wokewindows.org/swats/07-0307042013,07-0307042013,2013-07-04
https://www.wokewindows.org/swats/13-23JUL02,13-23JUL02,2013-07-02
https://www.wokewindows.org/swats/130396546,130396546,2013-06-28
https://www.wokewindows.org/swats/13-21JUN28,13-21JUN28,2013-06-28
https://www.wokewindows.org/swats/13-20JUNE22,13-20JUNE22,2013-06-22
https://www.wokewindows.org/swats/13-19JUNE18,13-19JUNE18,2013-06-18
https://www.wokewindows.org/swats/13-18JUN16,13-18JUN16,2013-06-16
https://www.wokewindows.org/swats/13-17JUNE03,13-17JUNE03,2013-06-03
https://www.wokewindows.org/swats/13-16MAY31,13-16MAY31,2013-05-31
https://www.wokewindows.org/swats/13-14MAY17,13-14MAY17,2013-05-17
https://www.wokewindows.org/swats/13-15MAY17,13-15MAY17,2013-05-17
https://www.wokewindows.org/swats/13-13MAY03,13-13MAY03,2013-05-03
https://www.wokewindows.org/swats/130258468,130258468,2013-05-02
https://www.wokewindows.org/swats/13-04192013,13-04192013,2013-04-20
https://www.wokewindows.org/swats/13-09APR18,13-09APR18,2013-04-18
https://www.wokewindows.org/swats/13-05-130034144-JAN17,13-05-130034144-JAN17,2013-01-17
https://www.wokewindows.org/swats/13-06JAN17,13-06JAN17,2013-01-17
https://www.wokewindows.org/swats/13-04-130032415-JAN16,13-04-130032415-JAN16,2013-01-16
https://www.wokewindows.org/swats/130026999,130026999,2013-01-13
https://www.wokewindows.org/swats/13-02JAN11,13-02JAN11,2013-01-11
https://www.wokewindows.org/swats/13-01JAN10,13-01JAN10,2013-01-10
https://www.wokewindows.org/swats/12-26-120811010-DEC28,12-26-120811010-DEC28,2012-12-28
https://www.wokewindows.org/swats/12-26-120759695-DEC21,12-26-120759695-DEC21,2012-12-21
https://www.wokewindows.org/swats/12-24-120721225-NOV16,12-24-120721225-NOV16,2012-11-16
https://www.wokewindows.org/swats/120703431,120703431,2012-11-08
https://www.wokewindows.org/swats/2012-22-120676147-NOV02,2012-22-120676147-NOV02,2012-11-02
https://www.wokewindows.org/swats/2012-21-120596647-SEPT22,2012-21-120596647-SEPT22,2012-09-22
https://www.wokewindows.org/swats/12-20AUG27,12-20AUG27,2012-08-27
https://www.wokewindows.org/swats/12-19AUG16,12-19AUG16,2012-08-16
https://www.wokewindows.org/swats/12-18-XXXX-JUL09,12-18-XXXX-JUL09,2012-07-09
https://www.wokewindows.org/swats/12-17-120419840-JUL8TH,12-17-120419840-JUL8TH,2012-07-08
https://www.wokewindows.org/swats/2012-16-POTUS-JUNE25-26,2012-16-POTUS-JUNE25-26,2012-06-25
https://www.wokewindows.org/swats/120380388,120380388,2012-06-22
https://www.wokewindows.org/swats/2012-14-120330693-JUNE01,2012-14-120330693-JUNE01,2012-06-01
https://www.wokewindows.org/swats/12-13MAY25,12-13MAY25,2012-05-25
https://www.wokewindows.org/swats/2012-12-120311094-MAY24,2012-12-120311094-MAY24,2012-05-24
https://www.wokewindows.org/swats/2012-11-XXXXXXXXX-22MAY,2012-11-XXXXXXXXX-22MAY,2012-05-22
https://www.wokewindows.org/swats/12-10-120229050-APR23,12-10-120229050-APR23,2012-04-23
https://www.wokewindows.org/swats/12-09-%3F%3F%3F-APR20,12-09-???-APR20,2012-04-20
https://www.wokewindows.org/swats/12-08APR18,12-08APR18,2012-04-18
https://www.wokewindows.org/swats/2012-07-120190775-APR02,2012-07-120190775-APR02,2012-04-02
https://www.wokewindows.org/swats/12-06-120160849-MAR19,12-06-120160849-MAR19,2012-03-19
https://www.wokewindows.org/swats/2012-05-120153329-MAR16,2012-05-120153329-MAR16,2012-03-16
https://www.wokewindows.org/swats/12-04-120121422-MAR01,12-04-120121422-MAR01,2012-03-01
https://www.wokewindows.org/swats/12-03FEB28,12-03FEB28,2012-02-28
https://www.wokewindows.org/swats/12-01-120024312-JAN13,12-01-120024312-JAN13,2012-01-13
https://www.wokewindows.org/swats/1135xxxxxxxx,1135xxxxxxxx,2011-12-07
https://www.wokewindows.org/swats/11-33-110664907dec05,11-33-110664907dec05,2011-12-05
https://www.wokewindows.org/swats/11-32-110631709-nov18,11-32-110631709-nov18,2011-11-18
https://www.wokewindows.org/swats/11-31-110570884-oct19,11-31-110570884-oct19,2011-10-19
https://www.wokewindows.org/swats/11-30-110546548oct07,11-30-110546548oct07,2011-10-07
https://www.wokewindows.org/swats/2011-29-110540218-oct04,2011-29-110540218-oct04,2011-10-04
https://www.wokewindows.org/swats/11-28-110527725-sep28,11-28-110527725-sep28,2011-09-28
https://www.wokewindows.org/swats/11-26-110501323-sep15,11-26-110501323-sep15,2011-09-15
https://www.wokewindows.org/swats/11-25-xxxx-sept14th,11-25-xxxx-sept14th,2011-09-14
https://www.wokewindows.org/swats/11-24-110496682,11-24-110496682,2011-09-14
https://www.wokewindows.org/swats/11-23-sept8th-sept13th,11-23-sept8th-sept13th,2011-09-08
https://www.wokewindows.org/swats/11-22-110459426aug26,11-22-110459426aug26,2011-08-26
https://www.wokewindows.org/swats/11-21-xxxx-aug18,11-21-xxxx-aug18,2011-08-18
https://www.wokewindows.org/swats/11-19-110433468-aug13,11-19-110433468-aug13,2011-08-13
https://www.wokewindows.org/swats/2011-20-110443166-aug18,2011-20-110443166-aug18,2011-08-12
https://www.wokewindows.org/swats/11-18-110427466-aug11,11-18-110427466-aug11,2011-08-11
https://www.wokewindows.org/swats/11-16-xxxxxxxxx-aug06,11-16-xxxxxxxxx-aug06,2011-08-06
https://www.wokewindows.org/swats/11-17-110417538-aug05,11-17-110417538-aug05,2011-08-05
https://www.wokewindows.org/swats/11-12-110344330-jul01,11-12-110344330-jul01,2011-08-03
https://www.wokewindows.org/swats/11-15-110371763-jul14,11-15-110371763-jul14,2011-07-14
https://www.wokewindows.org/swats/2011-14-xxxxxxxxx-july12,2011-14-xxxxxxxxx-july12,2011-07-12
https://www.wokewindows.org/swats/13-11-110346844,13-11-110346844,2011-07-03
https://www.wokewindows.org/swats/11-11-110337527-jun28,11-11-110337527-jun28,2011-06-28
https://www.wokewindows.org/swats/110324854,110324854,2011-06-21
https://www.wokewindows.org/swats/2011-10-vpotusvisit-may25,2011-10-vpotusvisit-may25,2011-05-25
https://www.wokewindows.org/swats/2011-09-potusvisit-may18,2011-09-potusvisit-may18,2011-05-18
https://www.wokewindows.org/swats/11-08-110243024may12,11-08-110243024may12,2011-05-12
https://www.wokewindows.org/swats/11-07-110216684,11-07-110216684,2011-04-29
https://www.wokewindows.org/swats/11-06-110185378-apr12,11-06-110185378-apr12,2011-04-12
https://www.wokewindows.org/swats/11-05-110176457-apr7th,11-05-110176457-apr7th,2011-04-07
https://www.wokewindows.org/swats/11-04-110153430-mar26,11-04-110153430-mar26,2011-03-26
https://www.wokewindows.org/swats/2011-3-vpotusvisit-mar21,2011-3-vpotusvisit-mar21,2011-03-21
https://www.wokewindows.org/swats/2011-02-POTUSVISIT-mar08,2011-02-POTUSVISIT-mar08,2011-03-08
https://www.wokewindows.org/swats/11-01-100688619-23feb,11-01-100688619-23feb,2011-02-23
https://www.wokewindows.org/swats/10-57-xxxx-dec2nd,10-57-xxxx-dec2nd,2010-12-02
https://www.wokewindows.org/swats/100624097,100624097,2010-11-18
https://www.wokewindows.org/swats/2010-55-100597163-nov3,2010-55-100597163-nov3,2010-11-03
https://www.wokewindows.org/swats/10302010,10302010,2010-10-22
https://www.wokewindows.org/swats/2010-53-100570861-oct21,2010-53-100570861-oct21,2010-10-21
https://www.wokewindows.org/swats/10-51-100549231,10-51-100549231,2010-10-09
https://www.wokewindows.org/swats/50-100517973-sept23,50-100517973-sept23,2010-09-23
https://www.wokewindows.org/swats/10-47-100501871-sept15,10-47-100501871-sept15,2010-09-15
https://www.wokewindows.org/swats/2010-48-100503318-sept15,2010-48-100503318-sept15,2010-09-15
https://www.wokewindows.org/swats/10-45-100497047-sept12th,10-45-100497047-sept12th,2010-09-12
https://www.wokewindows.org/swats/10-43-100478397-sept3rd,10-43-100478397-sept3rd,2010-09-03
https://www.wokewindows.org/swats/2010-43-100456107-aug22,2010-43-100456107-aug22,2010-08-22
https://www.wokewindows.org/swats/10-43-100433193-aug10th,10-43-100433193-aug10th,2010-08-10
https://www.wokewindows.org/swats/10-41-100410593,10-41-100410593,2010-07-30
https://www.wokewindows.org/swats/10-40-100400818-jul25,10-40-100400818-jul25,2010-07-25
https://www.wokewindows.org/swats/10-39-100392980-jul21,10-39-100392980-jul21,2010-07-21
https://www.wokewindows.org/swats/10-38-100391420,10-38-100391420,2010-07-20
https://www.wokewindows.org/swats/10-37-100376360-july12,10-37-100376360-july12,2010-07-12
https://www.wokewindows.org/swats/10-27-100296007jun02,10-27-100296007jun02,2010-07-08
https://www.wokewindows.org/swats/2010-36-100351099-june29,2010-36-100351099-june29,2010-06-29
https://www.wokewindows.org/swats/10-35-100343444-jun25,10-35-100343444-jun25,2010-06-25
https://www.wokewindows.org/swats/100326056,100326056,2010-06-15
https://www.wokewindows.org/swats/2010-32-100313867-june10,2010-32-100313867-june10,2010-06-10
https://www.wokewindows.org/swats/2010-30-100312155-june09,2010-30-100312155-june09,2010-06-09
https://www.wokewindows.org/swats/2010-28-100301109-june07,2010-28-100301109-june07,2010-06-07
https://www.wokewindows.org/swats/2010-26-100295362-june01,2010-26-100295362-june01,2010-06-01
https://www.wokewindows.org/swats/10-25-100286121,10-25-100286121,2010-05-28
https://www.wokewindows.org/swats/10-24-100281047may25,10-24-100281047may25,2010-05-25
https://www.wokewindows.org/swats/10-23-100280081may25,10-23-100280081may25,2010-05-25
https://www.wokewindows.org/swats/2010-22-100269184-may20,2010-22-100269184-may20,2010-05-20
https://www.wokewindows.org/swats/10-21-xxxxxxxxx-may16,10-21-xxxxxxxxx-may16,2010-05-16
https://www.wokewindows.org/swats/2010-20-100244597-may07,2010-20-100244597-may07,2010-05-07
https://www.wokewindows.org/swats/10-19-100216540,10-19-100216540,2010-04-24
https://www.wokewindows.org/swats/10-17-xxxx-mar26th,10-17-xxxx-mar26th,2010-03-26
https://www.wokewindows.org/swats/10-16-100136308,10-16-100136308,2010-03-15
https://www.wokewindows.org/swats/10-14-100110856mar04,10-14-100110856mar04,2010-03-04
https://www.wokewindows.org/swats/13-06-100113242,13-06-100113242,2010-03-03
https://www.wokewindows.org/swats/2010-15-100117193-march05,2010-15-100117193-march05,2010-03-02
https://www.wokewindows.org/swats/10-12-100090856feb19,10-12-100090856feb19,2010-02-19
https://www.wokewindows.org/swats/10-11-100088960-feb18,10-11-100088960-feb18,2010-02-18
https://www.wokewindows.org/swats/10-10-100050545-jan28,10-10-100050545-jan28,2010-01-28
https://www.wokewindows.org/swats/10-09-xxxx-jan25,10-09-xxxx-jan25,2010-01-25
https://www.wokewindows.org/swats/10-08-100035245-jan20,10-08-100035245-jan20,2010-01-20
https://www.wokewindows.org/swats/100020377,100020377,2010-01-12
https://www.wokewindows.org/swats/10-04-100018365jan11,10-04-100018365jan11,2010-01-11
https://www.wokewindows.org/swats/10-03-100014345-jan08,10-03-100014345-jan08,2010-01-08
https://www.wokewindows.org/swats/10-02-100009639-jan06,10-02-100009639-jan06,2010-01-06
https://www.wokewindows.org/swats/10-01-100000799-jan01,10-01-100000799-jan01,2010-01-01
